"PropagatorCount","GraphIndex","TopologyName","RegionType","ZeroVars","RemainingVars","ObstructionRecordQ","HiddenRegionQ","HiddenRegionCount","ValidObstructionTrialCount","CandidateGeneratorCount","GeneratorCount","GeneratorSetFactorCount","SearchMethod","CancellationFactorCount","CancellationFactorClassCounts","AllCancellationFactorsBinomialQ","PolynomialCancellationFactorQ","SLSectorFactorCount","SLSectorFactorClassCounts","SLSectorAllBinomialQ","SLSectorPolynomialFactorQ","AcceptedScalingQ","ScalingVector","AcceptedScalingCount","UniqueAcceptedScalingQ","ScalingStatus","HRFoundWithScalingQ"
"7","1","G_s•","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","3","<|""polynomial-3-term"" -> 1, ""binomial"" -> 1, ""polynomial-4-term"" -> 1|>","False","True","2","<|""binomial"" -> 1, ""polynomial-4-term"" -> 1|>","False","True","False","Missing[""NoCoordinateUniformCoverageScalingFoundUpTo"", 5]","0","False","No scaling vector exists under LP constraints (uniform F_SL, W_SL<W_HR, variable coverage) within the searched nullspace box","False"
"7","2","G_t•","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1, -2}","103","False","Scaling vector determined","True"
"7","3","G_u•","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 1, ""polynomial-3-term"" -> 1, ""polynomial-4-term"" -> 1|>","False","True","2","<|""binomial"" -> 1, ""polynomial-4-term"" -> 1|>","False","True","False","Missing[""NoCoordinateUniformCoverageScalingFoundUpTo"", 5]","0","False","No scaling vector exists under LP constraints (uniform F_SL, W_SL<W_HR, variable coverage) within the searched nullspace box","False"
"7","4","G_•s","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","4","<|""polynomial-3-term"" -> 1, ""polynomial-6-term"" -> 1, ""polynomial-5-term"" -> 1, ""binomial"" -> 1|>","False","True","2","<|""polynomial-3-term"" -> 1, ""binomial"" -> 1|>","False","True","False","Missing[""NoCoordinateUniformCoverageScalingFoundUpTo"", 5]","0","False","No scaling vector exists under LP constraints (uniform F_SL, W_SL<W_HR, variable coverage) within the searched nullspace box","False"
"7","5","G_•t","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-5-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1, 0}","108","False","Scaling vector determined","True"
"7","6","G_•u","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","4","<|""polynomial-6-term"" -> 1, ""polynomial-3-term"" -> 1, ""polynomial-5-term"" -> 1, ""binomial"" -> 1|>","False","True","2","<|""polynomial-6-term"" -> 1, ""binomial"" -> 1|>","False","True","False","Missing[""NoCoordinateUniformCoverageScalingFoundUpTo"", 5]","0","False","No scaling vector exists under LP constraints (uniform F_SL, W_SL<W_HR, variable coverage) within the searched nullspace box","False"
"7","1","G_s•","Boundary","{x6}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
"7","2","G_t•","Boundary","{x6}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
"7","3","G_u•","Boundary","{x6}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
"7","4","G_•s","Boundary","{x6}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
"7","5","G_•t","Boundary","{x6}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
"7","6","G_•u","Boundary","{x6}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
"8","1","G_ss","Interior","{}","Missing[""NoRemainingVars""]","False","False","0","0","0","0","0","Missing[""NoObstructionFound"", Automatic]","2","<|""polynomial-6-term"" -> 1, ""polynomial-9-term"" -> 1|>","False","True","0","<||>","False","False","False","Missing[""NoInteriorObstruction""]","0","False","Missing[""NoCoverageData""]","False"
"8","2","G_su","Interior","{}","Missing[""NoRemainingVars""]","False","False","0","0","0","0","0","Missing[""NoObstructionFound"", Automatic]","2","<|""polynomial-8-term"" -> 1, ""polynomial-9-term"" -> 1|>","False","True","0","<||>","False","False","False","Missing[""NoInteriorObstruction""]","0","False","Missing[""NoCoverageData""]","False"
"8","3","G_tt","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-9-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1, -2, 0}","111","False","Scaling vector determined","True"
"8","4","G_us","Interior","{}","Missing[""NoRemainingVars""]","False","False","0","0","0","0","0","Missing[""NoObstructionFound"", Automatic]","2","<|""polynomial-8-term"" -> 1, ""polynomial-9-term"" -> 1|>","False","True","0","<||>","False","False","False","Missing[""NoInteriorObstruction""]","0","False","Missing[""NoCoverageData""]","False"
"8","5","G_uu","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","3","<|""polynomial-6-term"" -> 1, ""polynomial-9-term"" -> 1, ""binomial"" -> 1|>","False","True","2","<|""polynomial-6-term"" -> 1, ""binomial"" -> 1|>","False","True","False","Missing[""NoCoordinateUniformCoverageScalingFoundUpTo"", 5]","0","False","No scaling vector exists under LP constraints (uniform F_SL, W_SL<W_HR, variable coverage) within the searched nullspace box","False"
"8","6","G_ts","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","5","<|""polynomial-3-term"" -> 2, ""polynomial-7-term"" -> 2, ""binomial"" -> 1|>","False","True","2","<|""polynomial-3-term"" -> 1, ""binomial"" -> 1|>","False","True","False","Missing[""NoCoordinateUniformCoverageScalingFoundUpTo"", 5]","0","False","No scaling vector exists under LP constraints (uniform F_SL, W_SL<W_HR, variable coverage) within the searched nullspace box","False"
"8","7","G_st","Interior","{}","Missing[""NoRemainingVars""]","False","False","0","0","0","0","0","Missing[""NoObstructionFound"", Automatic]","0","<||>","False","False","0","<||>","False","False","False","Missing[""NoInteriorObstruction""]","0","False","Missing[""NoCoverageData""]","False"
"8","8","G_ut","Interior","{}","Missing[""NoRemainingVars""]","False","False","0","0","0","0","0","Missing[""NoObstructionFound"", Automatic]","0","<||>","False","False","0","<||>","False","False","False","Missing[""NoInteriorObstruction""]","0","False","Missing[""NoCoverageData""]","False"
"8","9","G_tu","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","5","<|""polynomial-7-term"" -> 2, ""polynomial-3-term"" -> 2, ""binomial"" -> 1|>","False","True","2","<|""polynomial-7-term"" -> 1, ""binomial"" -> 1|>","False","True","False","Missing[""NoCoordinateUniformCoverageScalingFoundUpTo"", 5]","0","False","No scaling vector exists under LP constraints (uniform F_SL, W_SL<W_HR, variable coverage) within the searched nullspace box","False"
"8","1","G_ss","Boundary","{x6}","{x0, x1, x2, x3, x4, x5, x7}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","4","<|""polynomial-3-term"" -> 1, ""polynomial-6-term"" -> 1, ""polynomial-5-term"" -> 1, ""binomial"" -> 1|>","False","True","2","<|""polynomial-3-term"" -> 1, ""binomial"" -> 1|>","False","True","False","Missing[""NoCoordinateUniformCoverageScalingFoundUpTo"", 5]","0","False","No scaling vector exists under LP constraints (uniform F_SL, W_SL<W_HR, variable coverage) within the searched nullspace box","False"
"8","1","G_ss","Boundary","{x7}","{x0, x1, x2, x3, x4, x5, x6}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","3","<|""polynomial-3-term"" -> 1, ""binomial"" -> 1, ""polynomial-4-term"" -> 1|>","False","True","2","<|""binomial"" -> 1, ""polynomial-4-term"" -> 1|>","False","True","False","Missing[""NoCoordinateUniformCoverageScalingFoundUpTo"", 5]","0","False","No scaling vector exists under LP constraints (uniform F_SL, W_SL<W_HR, variable coverage) within the searched nullspace box","False"
"8","1","G_ss","Boundary","{x0, x7}","{x1, x2, x3, x4, x5, x6}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","2","<|""binomial"" -> 1, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 1, ""polynomial-3-term"" -> 1|>","False","True","False","Missing[""NoCoordinateUniformCoverageScalingFoundUpTo"", 5]","0","False","No scaling vector exists under LP constraints (uniform F_SL, W_SL<W_HR, variable coverage) within the searched nullspace box","False"
"8","1","G_ss","Boundary","{x1, x6}","{x0, x2, x3, x4, x5, x7}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-4-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","False","Missing[""NoCoordinateUniformCoverageScalingFoundUpTo"", 5]","0","False","No scaling vector exists under LP constraints (uniform F_SL, W_SL<W_HR, variable coverage) within the searched nullspace box","False"
"8","1","G_ss","Boundary","{x6, x7}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
"8","2","G_su","Boundary","{x6}","{x0, x1, x2, x3, x4, x5, x7}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","4","<|""polynomial-6-term"" -> 1, ""polynomial-3-term"" -> 1, ""polynomial-5-term"" -> 1, ""binomial"" -> 1|>","False","True","2","<|""polynomial-6-term"" -> 1, ""binomial"" -> 1|>","False","True","False","Missing[""NoCoordinateUniformCoverageScalingFoundUpTo"", 5]","0","False","No scaling vector exists under LP constraints (uniform F_SL, W_SL<W_HR, variable coverage) within the searched nullspace box","False"
"8","2","G_su","Boundary","{x7}","{x0, x1, x2, x3, x4, x5, x6}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","3","<|""polynomial-3-term"" -> 1, ""binomial"" -> 1, ""polynomial-4-term"" -> 1|>","False","True","2","<|""binomial"" -> 1, ""polynomial-4-term"" -> 1|>","False","True","False","Missing[""NoCoordinateUniformCoverageScalingFoundUpTo"", 5]","0","False","No scaling vector exists under LP constraints (uniform F_SL, W_SL<W_HR, variable coverage) within the searched nullspace box","False"
"8","2","G_su","Boundary","{x0, x7}","{x1, x2, x3, x4, x5, x6}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","2","<|""binomial"" -> 1, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 1, ""polynomial-3-term"" -> 1|>","False","True","False","Missing[""NoCoordinateUniformCoverageScalingFoundUpTo"", 5]","0","False","No scaling vector exists under LP constraints (uniform F_SL, W_SL<W_HR, variable coverage) within the searched nullspace box","False"
"8","2","G_su","Boundary","{x3, x6}","{x0, x1, x2, x4, x5, x7}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","3","<|""polynomial-4-term"" -> 2, ""binomial"" -> 1|>","False","True","2","<|""polynomial-4-term"" -> 1, ""binomial"" -> 1|>","False","True","False","Missing[""NoCoordinateUniformCoverageScalingFoundUpTo"", 5]","0","False","No scaling vector exists under LP constraints (uniform F_SL, W_SL<W_HR, variable coverage) within the searched nullspace box","False"
"8","2","G_su","Boundary","{x4, x6}","{x0, x1, x2, x3, x5, x7}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","2","<|""polynomial-5-term"" -> 1, ""binomial"" -> 1|>","False","True","2","<|""polynomial-5-term"" -> 1, ""binomial"" -> 1|>","False","True","False","Missing[""NoCoordinateUniformCoverageScalingFoundUpTo"", 5]","0","False","No scaling vector exists under LP constraints (uniform F_SL, W_SL<W_HR, variable coverage) within the searched nullspace box","False"
"8","2","G_su","Boundary","{x6, x7}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
"8","3","G_tt","Boundary","{x6}","{x0, x1, x2, x3, x4, x5, x7}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-5-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1, 0}","108","False","Scaling vector determined","True"
"8","3","G_tt","Boundary","{x7}","{x0, x1, x2, x3, x4, x5, x6}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1, -2}","103","False","Scaling vector determined","True"
