"ScanIndex","Family","DiagramIndex","Example03Group","Example03Topology","Example03GraphIndex","Example03PrimaryQ","PropagatorCount","TopologyName","RegionType","ZeroVars","RemainingVars","PreselectionZeroVars","PreselectionEffectivePropagatorCount","F0TermCount","ObstructionRecordQ","ValidObstructionTrialCount","CandidateGeneratorCount","GeneratorCount","GeneratorSetFactorCount","SearchMethod","CancellationFactorCount","CancellationFactorClassCounts","PolynomialCancellationFactorQ","SLSectorFactorCount","SLSectorFactorClassCounts","SLSectorAllBinomialQ","SLSectorPolynomialFactorQ","AcceptedScalingQ","ScalingVector","AcceptedScalingCount","ScalingStatus","HRFoundWithScalingQ"
"1","nonplanar","5","03 seed","G_bulletbullet","0","True","6","G_bulletbullet","Boundary","{x0}","{x1, x2, x3, x4, x5}","{}","6","3","False","0","0","0","0","Missing[""NoObstructionData""]","1","<|""binomial"" -> 1|>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"1","nonplanar","5","03 seed","G_bulletbullet","0","True","6","G_bulletbullet","Boundary","{x1}","{x0, x2, x3, x4, x5}","{}","6","2","False","0","0","0","0","Missing[""NoObstructionData""]","1","<|""binomial"" -> 1|>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"1","nonplanar","5","03 seed","G_bulletbullet","0","True","6","G_bulletbullet","Boundary","{x2}","{x0, x1, x3, x4, x5}","{}","6","2","False","0","0","0","0","Missing[""NoObstructionData""]","1","<|""binomial"" -> 1|>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"1","nonplanar","5","03 seed","G_bulletbullet","0","True","6","G_bulletbullet","Boundary","{x3}","{x0, x1, x2, x4, x5}","{}","6","3","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"1","nonplanar","5","03 seed","G_bulletbullet","0","True","6","G_bulletbullet","Boundary","{x4}","{x0, x1, x2, x3, x5}","{}","6","3","False","1","1","0","0","Missing[""NoObstructionData""]","2","<|""binomial"" -> 2|>","False","0","<||>","False","False","False","Missing[""NoHiddenRegionWithValidScaling""]","0","Missing[""NoHiddenRegionWithValidScaling""]","False"
"1","nonplanar","5","03 seed","G_bulletbullet","0","True","6","G_bulletbullet","Boundary","{x5}","{x0, x1, x2, x3, x4}","{}","6","2","False","0","0","0","0","Missing[""NoObstructionData""]","1","<|""binomial"" -> 1|>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"1","nonplanar","5","03 seed","G_bulletbullet","0","True","6","G_bulletbullet","Boundary","{x0, x1}","{x2, x3, x4, x5}","{}","6","1","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NoCoordinateUniformCoverageScalingFoundUpTo"", 5]","0","No scaling vector exists under LP constraints (uniform F_SL, W_SL<W_HR, variable coverage) within the searched nullspace box","False"
"1","nonplanar","5","03 seed","G_bulletbullet","0","True","6","G_bulletbullet","Boundary","{x0, x2}","{x1, x3, x4, x5}","{}","6","1","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"1","nonplanar","5","03 seed","G_bulletbullet","0","True","6","G_bulletbullet","Boundary","{x0, x3}","{x1, x2, x4, x5}","{}","6","2","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"1","nonplanar","5","03 seed","G_bulletbullet","0","True","6","G_bulletbullet","Boundary","{x0, x4}","{x1, x2, x3, x5}","{}","6","1","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"1","nonplanar","5","03 seed","G_bulletbullet","0","True","6","G_bulletbullet","Boundary","{x0, x5}","{x1, x2, x3, x4}","{}","6","2","False","0","0","0","0","Missing[""NoObstructionData""]","1","<|""binomial"" -> 1|>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"1","nonplanar","5","03 seed","G_bulletbullet","0","True","6","G_bulletbullet","Boundary","{x1, x2}","{x0, x3, x4, x5}","{}","6","1","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"1","nonplanar","5","03 seed","G_bulletbullet","0","True","6","G_bulletbullet","Boundary","{x1, x3}","{x0, x2, x4, x5}","{}","6","1","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"1","nonplanar","5","03 seed","G_bulletbullet","0","True","6","G_bulletbullet","Boundary","{x1, x4}","{x0, x2, x3, x5}","{}","6","2","False","0","0","0","0","Missing[""NoObstructionData""]","1","<|""binomial"" -> 1|>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"1","nonplanar","5","03 seed","G_bulletbullet","0","True","6","G_bulletbullet","Boundary","{x1, x5}","{x0, x2, x3, x4}","{}","6","1","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NoCoordinateUniformCoverageScalingFoundUpTo"", 5]","0","No scaling vector exists under LP constraints (uniform F_SL, W_SL<W_HR, variable coverage) within the searched nullspace box","False"
"1","nonplanar","5","03 seed","G_bulletbullet","0","True","6","G_bulletbullet","Boundary","{x2, x3}","{x0, x1, x4, x5}","{}","6","1","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NoCoordinateUniformCoverageScalingFoundUpTo"", 5]","0","No scaling vector exists under LP constraints (uniform F_SL, W_SL<W_HR, variable coverage) within the searched nullspace box","False"
"1","nonplanar","5","03 seed","G_bulletbullet","0","True","6","G_bulletbullet","Boundary","{x2, x4}","{x0, x1, x3, x5}","{}","6","1","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"1","nonplanar","5","03 seed","G_bulletbullet","0","True","6","G_bulletbullet","Boundary","{x2, x5}","{x0, x1, x3, x4}","{}","6","1","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"1","nonplanar","5","03 seed","G_bulletbullet","0","True","6","G_bulletbullet","Boundary","{x3, x4}","{x0, x1, x2, x5}","{}","6","2","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"1","nonplanar","5","03 seed","G_bulletbullet","0","True","6","G_bulletbullet","Boundary","{x3, x5}","{x0, x1, x2, x4}","{}","6","1","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"1","nonplanar","5","03 seed","G_bulletbullet","0","True","6","G_bulletbullet","Boundary","{x4, x5}","{x0, x1, x2, x3}","{}","6","1","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NoCoordinateUniformCoverageScalingFoundUpTo"", 5]","0","No scaling vector exists under LP constraints (uniform F_SL, W_SL<W_HR, variable coverage) within the searched nullspace box","False"
