"ScanIndex","Family","DiagramIndex","Example03Group","Example03Topology","Example03GraphIndex","Example03PrimaryQ","PropagatorCount","TopologyName","RegionType","ZeroVars","RemainingVars","PreselectionZeroVars","PreselectionEffectivePropagatorCount","F0TermCount","ObstructionRecordQ","ValidObstructionTrialCount","CandidateGeneratorCount","GeneratorCount","GeneratorSetFactorCount","SearchMethod","CancellationFactorCount","CancellationFactorClassCounts","PolynomialCancellationFactorQ","SLSectorFactorCount","SLSectorFactorClassCounts","SLSectorAllBinomialQ","SLSectorPolynomialFactorQ","AcceptedScalingQ","ScalingVector","AcceptedScalingCount","ScalingStatus","HRFoundWithScalingQ"
"1","nonplanar","5","03 seed","G_bulletbullet","0","True","6","G_bulletbullet","Interior","{}","{x0, x1, x2, x3, x4, x5}","{}","6","5","True","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","Scaling vector determined","True"
"2","nonplanar","57","03 seven","G_sbullet","1","True","7","G_sbullet","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x5}","6","10","False","0","0","0","0","Missing[""NoObstructionData""]","2","<|""polynomial-3-term"" -> 1, ""binomial"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"3","nonplanar","50","03 seven","G_tbullet","2","True","7","G_tbullet","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x4}","6","6","True","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","True","2","<|""binomial"" -> 2|>","True","False","True","{-1, -2, -2, -2, -2, -1, -2}","103","Scaling vector determined","True"
"4","nonplanar","29","03 seven","G_ubullet","3","True","7","G_ubullet","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x4}","6","10","False","0","0","0","0","Missing[""NoObstructionData""]","2","<|""binomial"" -> 1, ""polynomial-3-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"5","nonplanar","32","03 seven","G_bullets","4","True","7","G_bullets","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x6}","6","10","False","1","1","0","0","Missing[""NoObstructionData""]","4","<|""polynomial-3-term"" -> 1, ""polynomial-6-term"" -> 1, ""polynomial-5-term"" -> 1, ""binomial"" -> 1|>","True","0","<||>","False","False","False","Missing[""NoHiddenRegionWithValidScaling""]","0","Missing[""NoHiddenRegionWithValidScaling""]","False"
"6","nonplanar","31","03 seven","G_bullett","5","True","7","G_bullett","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x6}","6","10","True","1","1","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-5-term"" -> 1|>","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1, 0}","108","Scaling vector determined","True"
"7","nonplanar","28","03 seven","G_bulletu","6","True","7","G_bulletu","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x6}","6","10","False","1","1","0","0","Missing[""NoObstructionData""]","4","<|""polynomial-6-term"" -> 1, ""polynomial-3-term"" -> 1, ""polynomial-5-term"" -> 1, ""binomial"" -> 1|>","True","0","<||>","False","False","False","Missing[""NoHiddenRegionWithValidScaling""]","0","Missing[""NoHiddenRegionWithValidScaling""]","False"
"8","nonplanar","99","03 eight","G_ss","1","True","8","G_ss","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x5, x7}","6","19","False","0","0","0","0","Missing[""NoObstructionData""]","2","<|""polynomial-6-term"" -> 1, ""polynomial-9-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"9","nonplanar","136","03 eight","G_su","2","True","8","G_su","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{}","8","19","False","0","0","0","0","Missing[""NoObstructionData""]","2","<|""polynomial-8-term"" -> 1, ""polynomial-9-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"10","nonplanar","90","03 eight","G_tt","3","True","8","G_tt","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x4, x7}","6","15","True","1","1","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-9-term"" -> 1|>","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -2, -1, 0}","111","Scaling vector determined","True"
