"Family","DiagramIndex","Example03Group","Example03Topology","Example03GraphIndex","Example03PrimaryQ","PropagatorCount","PreselectionZeroVars","PreselectionEffectivePropagatorCount","InternalLines","ExternalLines","PySecDecInput"
"""nonplanar""","5","""03 seed""","""G_bulletbullet""","0","True","6","{}","6","{{""0"", {1, 3}}, {""0"", {1, 5}}, {""0"", {2, 3}}, {""0"", {2, 5}}, {""0"", {4, 3}}, {""0"", {4, 5}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 3]], [\""0\"", [1, 5]], [\""0\"", [2, 3]], [\""0\"", [2, 5]], [\""0\"", [4, 3]], [\""0\"", [4, 5]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""nonplanar""","57","""03 seven""","""G_sbullet""","1","True","7","{x5}","6","{{""0"", {1, 5}}, {""0"", {1, 6}}, {""0"", {2, 5}}, {""0"", {2, 6}}, {""0"", {3, 4}}, {""0"", {3, 6}}, {""0"", {4, 5}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 5]], [\""0\"", [1, 6]], [\""0\"", [2, 5]], [\""0\"", [2, 6]], [\""0\"", [3, 4]], [\""0\"", [3, 6]], [\""0\"", [4, 5]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""nonplanar""","50","""03 seven""","""G_tbullet""","2","True","7","{x4}","6","{{""0"", {1, 5}}, {""0"", {1, 6}}, {""0"", {2, 3}}, {""0"", {2, 5}}, {""0"", {3, 6}}, {""0"", {4, 5}}, {""0"", {4, 6}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 5]], [\""0\"", [1, 6]], [\""0\"", [2, 3]], [\""0\"", [2, 5]], [\""0\"", [3, 6]], [\""0\"", [4, 5]], [\""0\"", [4, 6]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""nonplanar""","29","""03 seven""","""G_ubullet""","3","True","7","{x4}","6","{{""0"", {1, 3}}, {""0"", {1, 5}}, {""0"", {2, 5}}, {""0"", {2, 6}}, {""0"", {3, 6}}, {""0"", {4, 5}}, {""0"", {4, 6}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 3]], [\""0\"", [1, 5]], [\""0\"", [2, 5]], [\""0\"", [2, 6]], [\""0\"", [3, 6]], [\""0\"", [4, 5]], [\""0\"", [4, 6]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""nonplanar""","32","""03 seven""","""G_bullets""","4","True","7","{x6}","6","{{""0"", {1, 3}}, {""0"", {1, 6}}, {""0"", {2, 3}}, {""0"", {2, 6}}, {""0"", {4, 3}}, {""0"", {4, 5}}, {""0"", {5, 6}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 3]], [\""0\"", [1, 6]], [\""0\"", [2, 3]], [\""0\"", [2, 6]], [\""0\"", [4, 3]], [\""0\"", [4, 5]], [\""0\"", [5, 6]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""nonplanar""","31","""03 seven""","""G_bullett""","5","True","7","{x6}","6","{{""0"", {1, 3}}, {""0"", {1, 6}}, {""0"", {2, 3}}, {""0"", {2, 5}}, {""0"", {4, 3}}, {""0"", {4, 6}}, {""0"", {5, 6}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 3]], [\""0\"", [1, 6]], [\""0\"", [2, 3]], [\""0\"", [2, 5]], [\""0\"", [4, 3]], [\""0\"", [4, 6]], [\""0\"", [5, 6]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""nonplanar""","28","""03 seven""","""G_bulletu""","6","True","7","{x6}","6","{{""0"", {1, 3}}, {""0"", {1, 5}}, {""0"", {2, 3}}, {""0"", {2, 6}}, {""0"", {4, 3}}, {""0"", {4, 6}}, {""0"", {5, 6}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 3]], [\""0\"", [1, 5]], [\""0\"", [2, 3]], [\""0\"", [2, 6]], [\""0\"", [4, 3]], [\""0\"", [4, 6]], [\""0\"", [5, 6]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""nonplanar""","99","""03 eight""","""G_ss""","1","True","8","{x5, x7}","6","{{""0"", {1, 6}}, {""0"", {1, 7}}, {""0"", {2, 6}}, {""0"", {2, 7}}, {""0"", {3, 4}}, {""0"", {3, 6}}, {""0"", {4, 5}}, {""0"", {5, 7}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 6]], [\""0\"", [1, 7]], [\""0\"", [2, 6]], [\""0\"", [2, 7]], [\""0\"", [3, 4]], [\""0\"", [3, 6]], [\""0\"", [4, 5]], [\""0\"", [5, 7]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""nonplanar""","136","""03 eight""","""G_su""","2","True","8","{}","8","{{""0"", {1, 5}}, {""0"", {1, 6}}, {""0"", {2, 6}}, {""0"", {2, 7}}, {""0"", {3, 4}}, {""0"", {3, 6}}, {""0"", {4, 7}}, {""0"", {5, 7}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 5]], [\""0\"", [1, 6]], [\""0\"", [2, 6]], [\""0\"", [2, 7]], [\""0\"", [3, 4]], [\""0\"", [3, 6]], [\""0\"", [4, 7]], [\""0\"", [5, 7]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""nonplanar""","90","""03 eight""","""G_tt""","3","True","8","{x4, x7}","6","{{""0"", {1, 6}}, {""0"", {1, 7}}, {""0"", {2, 3}}, {""0"", {2, 5}}, {""0"", {3, 6}}, {""0"", {4, 6}}, {""0"", {4, 7}}, {""0"", {5, 7}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 6]], [\""0\"", [1, 7]], [\""0\"", [2, 3]], [\""0\"", [2, 5]], [\""0\"", [3, 6]], [\""0\"", [4, 6]], [\""0\"", [4, 7]], [\""0\"", [5, 7]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""nonplanar""","116","""03 eight""","""G_us""","4","True","8","{}","8","{{""0"", {1, 3}}, {""0"", {1, 6}}, {""0"", {2, 6}}, {""0"", {2, 7}}, {""0"", {3, 7}}, {""0"", {4, 5}}, {""0"", {4, 7}}, {""0"", {5, 6}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 3]], [\""0\"", [1, 6]], [\""0\"", [2, 6]], [\""0\"", [2, 7]], [\""0\"", [3, 7]], [\""0\"", [4, 5]], [\""0\"", [4, 7]], [\""0\"", [5, 6]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""nonplanar""","78","""03 eight""","""G_uu""","5","True","8","{x4, x7}","6","{{""0"", {1, 3}}, {""0"", {1, 5}}, {""0"", {2, 6}}, {""0"", {2, 7}}, {""0"", {3, 6}}, {""0"", {4, 6}}, {""0"", {4, 7}}, {""0"", {5, 7}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 3]], [\""0\"", [1, 5]], [\""0\"", [2, 6]], [\""0\"", [2, 7]], [\""0\"", [3, 6]], [\""0\"", [4, 6]], [\""0\"", [4, 7]], [\""0\"", [5, 7]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""nonplanar""","144","""03 eight""","""G_ts""","6","True","8","{x4, x7}","6","{{""0"", {1, 6}}, {""0"", {1, 7}}, {""0"", {2, 3}}, {""0"", {2, 6}}, {""0"", {3, 7}}, {""0"", {4, 5}}, {""0"", {4, 7}}, {""0"", {5, 6}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 6]], [\""0\"", [1, 7]], [\""0\"", [2, 3]], [\""0\"", [2, 6]], [\""0\"", [3, 7]], [\""0\"", [4, 5]], [\""0\"", [4, 7]], [\""0\"", [5, 6]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""nonplanar""","151","""03 eight""","""G_st""","7","True","8","{}","8","{{""0"", {1, 6}}, {""0"", {1, 7}}, {""0"", {2, 5}}, {""0"", {2, 6}}, {""0"", {3, 4}}, {""0"", {3, 6}}, {""0"", {4, 7}}, {""0"", {5, 7}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 6]], [\""0\"", [1, 7]], [\""0\"", [2, 5]], [\""0\"", [2, 6]], [\""0\"", [3, 4]], [\""0\"", [3, 6]], [\""0\"", [4, 7]], [\""0\"", [5, 7]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""nonplanar""","114","""03 eight""","""G_ut""","8","True","8","{x4, x7}","6","{{""0"", {1, 3}}, {""0"", {1, 6}}, {""0"", {2, 5}}, {""0"", {2, 7}}, {""0"", {3, 7}}, {""0"", {4, 6}}, {""0"", {4, 7}}, {""0"", {5, 6}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 3]], [\""0\"", [1, 6]], [\""0\"", [2, 5]], [\""0\"", [2, 7]], [\""0\"", [3, 7]], [\""0\"", [4, 6]], [\""0\"", [4, 7]], [\""0\"", [5, 6]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""nonplanar""","133","""03 eight""","""G_tu""","9","True","8","{x4, x7}","6","{{""0"", {1, 5}}, {""0"", {1, 6}}, {""0"", {2, 3}}, {""0"", {2, 7}}, {""0"", {3, 6}}, {""0"", {4, 6}}, {""0"", {4, 7}}, {""0"", {5, 7}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 5]], [\""0\"", [1, 6]], [\""0\"", [2, 3]], [\""0\"", [2, 7]], [\""0\"", [3, 6]], [\""0\"", [4, 6]], [\""0\"", [4, 7]], [\""0\"", [5, 7]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""planar""","51","""other""","""""","""""","False","6","{x2}","5","{{""0"", {1, 2}}, {""0"", {3, 1}}, {""0"", {3, 4}}, {""0"", {4, 2}}, {""0"", {5, 1}}, {""0"", {5, 2}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 2]], [\""0\"", [3, 1]], [\""0\"", [3, 4]], [\""0\"", [4, 2]], [\""0\"", [5, 1]], [\""0\"", [5, 2]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""planar""","53","""other""","""""","""""","False","6","{x2}","5","{{""0"", {1, 2}}, {""0"", {3, 2}}, {""0"", {3, 4}}, {""0"", {4, 1}}, {""0"", {5, 1}}, {""0"", {5, 2}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 2]], [\""0\"", [3, 2]], [\""0\"", [3, 4]], [\""0\"", [4, 1]], [\""0\"", [5, 1]], [\""0\"", [5, 2]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""planar""","154","""other""","""""","""""","False","7","{x1, x2}","5","{{""0"", {1, 3}}, {""0"", {1, 6}}, {""0"", {3, 4}}, {""0"", {4, 2}}, {""0"", {5, 2}}, {""0"", {5, 6}}, {""0"", {6, 2}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 3]], [\""0\"", [1, 6]], [\""0\"", [3, 4]], [\""0\"", [4, 2]], [\""0\"", [5, 2]], [\""0\"", [5, 6]], [\""0\"", [6, 2]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""planar""","174","""other""","""""","""""","False","7","{x1, x3}","5","{{""0"", {1, 4}}, {""0"", {1, 6}}, {""0"", {3, 2}}, {""0"", {3, 4}}, {""0"", {5, 2}}, {""0"", {5, 6}}, {""0"", {6, 2}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 4]], [\""0\"", [1, 6]], [\""0\"", [3, 2]], [\""0\"", [3, 4]], [\""0\"", [5, 2]], [\""0\"", [5, 6]], [\""0\"", [6, 2]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""planar""","204","""other""","""""","""""","False","7","{x1, x2}","5","{{""0"", {2, 3}}, {""0"", {2, 6}}, {""0"", {3, 4}}, {""0"", {4, 1}}, {""0"", {5, 1}}, {""0"", {5, 6}}, {""0"", {6, 1}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [2, 3]], [\""0\"", [2, 6]], [\""0\"", [3, 4]], [\""0\"", [4, 1]], [\""0\"", [5, 1]], [\""0\"", [5, 6]], [\""0\"", [6, 1]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
